station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
QFW,2020-10-20 00:00,127.8833,37.6667,42.80,42.80,100.00,10.00,1.00,0.00,30.41,M,3.73,M,OVC,M,M,M,300.00,M,M,M,,M,M,M,M,M,M,M,KQFW 200000Z AUTO 01001KT 6000 // OVC003 06/06 A3041 RMK A02 TSNO
QFV,2020-10-20 00:00,127.5000,38.0500,44.60,39.20,81.20,50.00,1.00,0.00,30.42,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQFV 200000Z AUTO 05001KT 9999 CLR 07/04 A3042 RMK A02 TSNO
RKJB,2020-10-20 00:00,126.3800,34.9800,57.20,50.00,76.82,100.00,5.00,0.00,30.33,M,2.98,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,RKJB 200000Z 10005KT 4800 BR NSC 14/10 Q1027 BECMG 6000 NSW
RKPC,2020-10-20 00:00,126.4930,33.5113,66.20,59.00,77.60,100.00,11.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RKPC 200000Z 10011KT 9999 FEW030 19/15 Q1026 NOSIG
RKNY,2020-10-20 00:00,128.6692,38.0613,64.40,44.60,48.55,200.00,3.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RKNY 200000Z 20003KT CAVOK 18/07 Q1027 NOSIG
RKTN,2020-10-20 00:00,128.6589,35.8941,53.60,48.20,81.87,110.00,1.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RKTN 200000Z 11001KT CAVOK 12/09 Q1028
RKTU,2020-10-20 00:00,127.4991,36.7166,46.40,46.40,100.00,130.00,1.00,0.00,30.39,M,0.06,M,SCT,SCT,M,M,0.00,300.00,M,M,FG,M,M,M,M,M,M,M,RKTU 200000Z 13001KT 0100 R24/0075 FG SCT000 SCT003 08/08 Q1029
RKPK,2020-10-20 00:00,128.9382,35.1795,59.00,48.20,67.33,360.00,4.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RKPK 200000Z 36004KT CAVOK 15/09 Q1028
RKSI,2020-10-20 00:00,126.4500,37.4667,53.60,53.60,100.00,60.00,4.00,0.00,30.36,M,0.03,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,RKSI 200000Z 06004KT 040V100 0050 R15L/0200N R15R/0200N R34/0175N FG VV001 12/12 Q1028 NOSIG
RKSM,2020-10-20 00:00,127.1139,37.4458,55.40,50.00,81.99,200.00,3.00,0.00,30.39,M,1.74,M,FEW,M,M,M,0.00,M,M,M,BR,M,M,M,M,M,M,M,RKSM 200000Z 20003KT 2800 BR FEW000 13/10 A3039
RKSS,2020-10-20 00:00,126.7906,37.5583,51.80,51.80,100.00,320.00,3.00,0.00,30.39,M,0.12,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,RKSS 200000Z 32003KT 290V010 0200 R14R/0500N R14L/0750D FG VV001 11/11 Q1029 BECMG 1000 BR
QFB,2020-10-20 00:10,128.7167,35.6500,46.40,44.60,93.40,320.00,2.00,0.00,30.43,M,0.75,M,BKN,M,M,M,100.00,M,M,M,BR,M,M,M,M,M,M,M,KQFB 200010Z AUTO 32002KT 1200 BR BKN001 08/07 A3043 RMK A02 TSNO
QEN,2020-10-20 00:10,128.7500,37.6667,48.20,41.00,76.01,220.00,2.00,0.00,30.39,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEN 200010Z AUTO 22002KT 9999 CLR 09/05 A3039 RMK A02 TSNO
QES,2020-10-20 00:10,126.4500,36.9667,66.20,53.60,63.82,M,M,0.00,M,M,1.99,M,SCT,M,M,M,900.00,M,M,M,BR,M,M,M,M,M,M,M,KQES 200010Z AUTO 3200 BR SCT009 19/12 / RMK A02 TSNO
QEJ,2020-10-20 00:10,127.9500,38.2000,42.80,41.00,93.30,60.00,1.00,0.00,30.39,M,2.98,M,BKN,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,M,KQEJ 200010Z AUTO 06001KT 4800 BR BKN002 06/05 A3039 RMK A02 TSNO
QEI,2020-10-20 00:10,128.0667,37.9500,46.40,41.00,81.34,160.00,1.00,0.00,30.40,M,6.21,M,BKN,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,M,KQEI 200010Z AUTO 16001KT 9999 BKN005 08/05 A3040 RMK A02 TSNO
QEQ,2020-10-20 00:10,127.5500,37.8500,46.40,46.40,100.00,30.00,4.00,0.00,30.43,M,1.24,M,BKN,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,44.24,KQEQ 200010Z AUTO 03004KT 2000 BR BKN002 08/08 A3043 RMK A02 TSNO
QEW,2020-10-20 00:10,128.1500,36.4000,51.80,44.60,76.34,120.00,1.00,0.00,30.38,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEW 200010Z AUTO 12001KT 9999 CLR 11/07 A3038 RMK A02 TSNO
QEP,2020-10-20 00:10,127.2667,37.4000,48.20,48.20,100.00,170.00,1.00,0.00,30.41,M,0.25,M,OVC,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,KQEP 200010Z AUTO 17001KT 0400 FG OVC001 09/09 A3041 RMK A02 TSNO
QFU,2020-10-20 00:10,126.9667,37.8000,48.20,46.40,93.45,140.00,1.00,0.00,30.43,M,0.25,M,CLR,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,M,KQFU 200010Z AUTO 14001KT M0400 FG CLR 09/08 A3043 RMK A02 TSNO
QEX,2020-10-20 00:10,128.3000,36.1000,46.40,44.60,93.40,360.00,2.00,0.00,30.31,M,4.97,M,FEW,M,M,M,100.00,M,M,M,,M,M,M,M,M,M,M,KQEX 200010Z AUTO 36002KT 8000 // FEW001 08/07 A3031 RMK A02 TSNO
QFV,2020-10-20 00:10,127.5000,38.0500,46.40,41.00,81.34,100.00,1.00,0.00,30.42,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQFV 200010Z AUTO 10001KT 9999 CLR 08/05 A3042 RMK A02 TSNO
RKSS,2020-10-20 00:10,126.7906,37.5583,51.80,51.80,100.00,330.00,3.00,0.00,30.36,M,0.31,M,BKN,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,RKSS 200010Z 33003KT 270V040 0500 R14R/0550N R14L/1000U FG BKN001 11/11 Q1028 BECMG 1000 BR
QFT,2020-10-20 00:10,127.3500,37.6000,48.20,44.60,87.28,360.00,3.00,0.00,30.39,M,M,M,BKN,M,M,M,500.00,M,M,M,,M,M,M,M,M,M,47.21,KQFT 200010Z AUTO 36003KT / // BKN005 09/07 A3039 RMK A02 TSNO
QFW,2020-10-20 00:10,127.8833,37.6667,44.60,42.80,93.35,340.00,1.00,0.00,30.42,M,4.97,M,OVC,M,M,M,300.00,M,M,M,,M,M,M,M,M,M,M,KQFW 200010Z AUTO 34001KT 8000 // OVC003 07/06 A3042 RMK A02 TSNO
RKTI,2020-10-20 00:11,127.8853,37.0300,46.40,46.40,100.00,130.00,1.00,0.00,30.38,M,0.12,M,SCT,BKN,M,M,0.00,200.00,M,M,FG,M,M,M,M,M,M,M,RKTI 200011Z 13001KT 0200 R36/200 FG SCT000 BKN002 08/08 A3038 RMK CIG002 FG SCT000
RKJB,2020-10-20 00:15,126.3800,34.9800,59.00,50.00,72.01,100.00,5.00,0.00,30.33,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RKJB 200015Z 10005KT 6000 NSC 15/10 Q1027 NOSIG
RKTF,2020-10-20 00:15,127.3720,36.3720,50.00,48.20,93.50,170.00,1.00,0.00,30.37,M,3.73,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,RKTF 200015Z 17001KT 6000 BR SKC 10/09 A3037
RKTI,2020-10-20 00:16,127.8853,37.0300,M,M,M,130.00,1.00,0.00,30.38,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RKTI 200016Z 13001KT 300 R36/400 FG SCT000 BKN002 08/08 A3038 RMK CIG002 FG SCT000
RKTS,2020-10-20 00:16,128.1572,36.4083,48.20,48.20,100.00,150.00,2.00,0.00,30.44,M,0.99,M,BKN,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,M,RKTS 200016Z 15002KT 1600 BR BKN002 09/09 A3044 RMK CIG002
RKSS,2020-10-20 00:19,126.7906,37.5583,53.60,53.60,100.00,10.00,3.00,0.00,30.36,M,0.50,M,BKN,M,M,M,300.00,M,M,M,FG,M,M,M,M,M,M,M,RKSS 200019Z 01003KT 320V070 0800 R14R/1100U R14L/1000N FG BKN003 12/12 Q1028 BECMG 1000 BR
RKSG,2020-10-20 00:19,127.0311,36.9622,50.00,M,M,90.00,3.00,0.00,30.37,1028.80,0.25,M,BKN,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,RKSG 200019Z 09003KT 1/4SM R32/2000V3000FT FG BKN001 10/ A3037 RMK AO2A SLP288 $
QFB,2020-10-20 00:20,128.7167,35.6500,46.40,46.40,100.00,310.00,3.00,0.00,30.42,M,2.98,M,BKN,M,M,M,100.00,M,M,M,BR,M,M,M,M,M,M,45.15,KQFB 200020Z AUTO 31003KT 4800 BR BKN001 08/08 A3042 RMK A02 TSNO
QEN,2020-10-20 00:20,128.7500,37.6667,48.20,42.80,81.47,220.00,1.00,0.00,30.38,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEN 200020Z AUTO 22001KT 9999 CLR 09/06 A3038 RMK A02 TSNO
QEI,2020-10-20 00:20,128.0667,37.9500,46.40,41.00,81.34,180.00,1.00,0.00,30.40,M,6.21,M,SCT,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KQEI 200020Z AUTO 18001KT 9999 SCT006 08/05 A3040 RMK A02 TSNO
QEW,2020-10-20 00:20,128.1500,36.4000,51.80,42.80,71.26,60.00,1.00,0.00,30.38,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEW 200020Z AUTO 06001KT 9999 CLR 11/06 A3038 RMK A02 TSNO
QFV,2020-10-20 00:20,127.5000,38.0500,48.20,41.00,76.01,70.00,1.00,0.00,30.42,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQFV 200020Z AUTO 07001KT 9999 CLR 09/05 A3042 RMK A02 TSNO
QES,2020-10-20 00:20,126.4500,36.9667,66.20,53.60,63.82,M,M,0.00,M,M,1.99,M,FEW,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,M,KQES 200020Z AUTO 3200 BR FEW004 19/12 / RMK A02 TSNO
QEJ,2020-10-20 00:20,127.9500,38.2000,44.60,41.00,87.09,270.00,1.00,0.00,30.39,M,4.97,M,SCT,M,M,M,200.00,M,M,M,M,M,M,M,M,M,M,M,KQEJ 200020Z AUTO 27001KT 8000 SCT002 07/05 A3039 RMK A02 TSNO
QEQ,2020-10-20 00:20,127.5500,37.8500,48.20,48.20,100.00,60.00,2.00,0.00,30.43,M,1.24,M,SCT,SCT,M,M,200.00,300.00,M,M,BR,M,M,M,M,M,M,M,KQEQ 200020Z AUTO 06002KT 2000 BR SCT002 SCT003 09/09 A3043 RMK A02 TSNO
QEP,2020-10-20 00:20,127.2667,37.4000,48.20,48.20,100.00,0.00,0.00,0.00,30.41,M,0.50,M,OVC,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,KQEP 200020Z AUTO 00000KT 0800 FG OVC001 09/09 A3041 RMK A02 TSNO
QFT,2020-10-20 00:20,127.3500,37.6000,48.20,44.60,87.28,10.00,3.00,0.00,30.39,M,M,M,SCT,M,M,M,400.00,M,M,M,,M,M,M,M,M,M,47.21,KQFT 200020Z AUTO 01003KT / // SCT004 09/07 A3039 RMK A02 TSNO
QFU,2020-10-20 00:20,126.9667,37.8000,46.40,46.40,100.00,30.00,1.00,0.00,30.43,M,0.25,M,CLR,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,M,KQFU 200020Z AUTO 03001KT M0400 FG CLR 08/08 A3043 RMK A02 TSNO
QEX,2020-10-20 00:20,128.3000,36.1000,48.20,44.60,87.28,30.00,3.00,0.00,30.31,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,47.21,KQEX 200020Z AUTO 03003KT 9999 CLR 09/07 A3031 RMK A02 TSNO
QFW,2020-10-20 00:20,127.8833,37.6667,44.60,42.80,93.35,310.00,1.00,0.00,30.42,M,6.21,M,BKN,M,M,M,300.00,M,M,M,M,M,M,M,M,M,M,M,KQFW 200020Z AUTO 31001KT 9999 BKN003 07/06 A3042 RMK A02 TSNO
RKTE,2020-10-20 00:23,127.5001,36.5682,48.20,48.20,100.00,180.00,3.00,0.00,30.34,M,0.99,M,FEW,SCT,M,M,0.00,500.00,M,M,BR,M,M,M,M,M,M,47.21,RKTE 200023Z 18003KT 1600 1600 BR FEW000 SCT005 09/09 A3034 RMK FG FEW000
RKSM,2020-10-20 00:23,127.1139,37.4458,57.20,51.80,82.12,200.00,2.00,0.00,30.39,M,1.99,M,FEW,M,M,M,0.00,M,M,M,BR,M,M,M,M,M,M,M,RKSM 200023Z 20002KT 3200 BR FEW000 14/11 A3039 RMK FG FEW000
RKTI,2020-10-20 00:23,127.8853,37.0300,48.20,46.40,93.45,140.00,1.00,0.00,30.38,M,0.25,M,SCT,BKN,M,M,0.00,200.00,M,M,FG,M,M,M,M,M,M,M,RKTI 200023Z 14001KT 0400 R36/550 FG SCT000 BKN002 09/08 A3038 RMK CIG002 FG SCT000
RKTS,2020-10-20 00:23,128.1572,36.4083,48.20,48.20,100.00,110.00,2.00,0.00,30.44,M,1.99,M,SCT,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,M,RKTS 200023Z 11002KT 3200 BR SCT002 09/09 A3044
RKJK,2020-10-20 00:26,126.6220,35.8994,57.20,51.80,82.12,110.00,3.00,0.00,30.34,1027.80,2.50,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,RKJK 200026Z 11003KT 2 1/2SM HZ CLR 14/11 A3034 RMK AO2A SLP278 $
RKSO,2020-10-20 00:28,127.0296,37.0906,51.80,51.80,100.00,80.00,3.00,0.00,30.36,1028.40,0.25,M,VV ,M,M,M,500.00,M,M,M,FG,M,M,M,M,M,M,M,RKSO 200028Z 08003KT 1/4SM FG VV005 11/11 A3036 RMK AO2A SLP284 RVRNO $
QFB,2020-10-20 00:30,128.7167,35.6500,48.20,48.20,100.00,10.00,2.00,0.00,30.42,M,5.59,M,SCT,M,M,M,100.00,M,M,M,M,M,M,M,M,M,M,M,KQFB 200030Z AUTO 01002KT 9000 SCT001 09/09 A3042 RMK A02 TSNO
QEN,2020-10-20 00:30,128.7500,37.6667,50.00,42.80,76.18,200.00,3.00,0.00,30.38,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEN 200030Z AUTO 20003KT 9999 CLR 10/06 A3038 RMK A02 TSNO
QES,2020-10-20 00:30,126.4500,36.9667,66.20,53.60,63.82,M,M,0.00,M,M,1.99,M,SCT,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,M,KQES 200030Z AUTO 3200 BR SCT004 19/12 / RMK A02 TSNO
QEJ,2020-10-20 00:30,127.9500,38.2000,44.60,41.00,87.09,270.00,1.00,0.00,30.39,M,5.59,M,FEW,M,M,M,200.00,M,M,M,HZ,M,M,M,M,M,M,M,KQEJ 200030Z AUTO 27001KT 9000 HZ FEW002 07/05 A3039 RMK A02 TSNO
QEI,2020-10-20 00:30,128.0667,37.9500,48.20,41.00,76.01,200.00,1.00,0.00,30.39,M,6.21,M,FEW,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KQEI 200030Z AUTO 20001KT 9999 FEW006 09/05 A3039 RMK A02 TSNO
QEQ,2020-10-20 00:30,127.5500,37.8500,46.40,48.20,M,60.00,5.00,0.00,30.42,M,1.74,M,FEW,FEW,M,M,200.00,300.00,M,M,BR,M,M,M,M,M,M,M,KQEQ 200030Z AUTO 06005KT 2800 BR FEW002 FEW003 08/09 A3042 RMK A02 TSNO
QEW,2020-10-20 00:30,128.1500,36.4000,51.80,42.80,71.26,340.00,1.00,0.00,30.38,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEW 200030Z AUTO 34001KT 9999 CLR 11/06 A3038 RMK A02 TSNO
QEP,2020-10-20 00:30,127.2667,37.4000,48.20,48.20,100.00,80.00,1.00,0.00,30.41,M,0.50,M,OVC,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,KQEP 200030Z AUTO 08001KT 0800 FG OVC001 09/09 A3041 RMK A02 TSNO
QFT,2020-10-20 00:30,127.3500,37.6000,50.00,44.60,81.61,30.00,2.00,0.00,30.39,M,M,M,FEW,M,M,M,400.00,M,M,M,,M,M,M,M,M,M,M,KQFT 200030Z AUTO 03002KT / // FEW004 10/07 A3039 RMK A02 TSNO
QFU,2020-10-20 00:30,126.9667,37.8000,48.20,46.40,93.45,50.00,2.00,0.00,30.43,M,0.25,M,CLR,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,M,KQFU 200030Z AUTO 05002KT M0400 FG CLR 09/08 A3043 RMK A02 TSNO
QEX,2020-10-20 00:30,128.3000,36.1000,48.20,44.60,87.28,30.00,4.00,0.00,30.31,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.34,KQEX 200030Z AUTO 03004KT 9999 CLR 09/07 A3031 RMK A02 TSNO
QFW,2020-10-20 00:30,127.8833,37.6667,46.40,42.80,87.19,90.00,1.00,0.00,30.41,M,6.21,M,BKN,M,M,M,400.00,M,M,M,M,M,M,M,M,M,M,M,KQFW 200030Z AUTO 09001KT 9999 BKN004 08/06 A3041 RMK A02 TSNO
QFV,2020-10-20 00:30,127.5000,38.0500,50.00,41.00,71.07,80.00,1.00,0.00,30.42,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQFV 200030Z AUTO 08001KT 9999 CLR 10/05 A3042 RMK A02 TSNO
RKSI,2020-10-20 00:30,126.4500,37.4667,53.60,53.60,100.00,70.00,4.00,0.00,30.36,M,0.09,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,RKSI 200030Z 07004KT 0150 R15L/0375U R15R/0375N R34/0700N FG VV001 12/12 Q1028 NOSIG
RKTB,2020-10-20 00:33,126.0500,37.0167,60.80,57.20,87.92,100.00,8.00,0.00,30.42,M,4.97,M,FEW,M,M,M,700.00,M,M,M,BR,M,M,M,M,M,M,M,RKTB 200033Z 10008KT 8000 BR FEW007 16/14 A3042
RKTI,2020-10-20 00:33,127.8853,37.0300,48.20,48.20,100.00,360.00,1.00,0.00,30.38,M,0.62,M,SCT,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,M,RKTI 200033Z 36001KT 1000 R36/1400 BR SCT003 09/09 A3038
RKSG,2020-10-20 00:34,127.0311,36.9622,51.80,50.00,93.55,90.00,3.00,0.00,30.37,1028.80,0.38,M,FEW,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,M,RKSG 200034Z 09003KT 3/8SM R32/4500V5000FT FG FEW001 11/10 A3037 RMK AO2A SLP288 $
RKSW,2020-10-20 00:34,127.0071,37.2394,57.20,57.20,100.00,110.00,2.00,0.00,30.39,M,1.99,M,CLR,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,RKSW 200034Z 11002KT 3200 BR SKC 14/14 A3039
RKTS,2020-10-20 00:35,128.1572,36.4083,50.00,50.00,100.00,130.00,2.00,0.00,30.43,M,2.98,M,SCT,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,M,RKTS 200035Z 13002KT 4800 BR SCT002 10/10 A3043
RKSS,2020-10-20 00:37,126.7906,37.5583,53.60,53.60,100.00,320.00,4.00,0.00,30.36,M,0.93,M,SCT,M,M,M,1500.00,M,M,M,BR,M,M,M,M,M,M,M,RKSS 200037Z 32004KT 290V010 1500 BR SCT015 12/12 Q1028 BECMG 3000
RKTU,2020-10-20 00:37,127.4991,36.7166,48.20,48.20,100.00,80.00,1.00,0.00,30.39,M,0.25,M,SCT,SCT,M,M,0.00,300.00,M,M,FG,M,M,M,M,M,M,M,RKTU 200037Z 08001KT 0400 R24/0200 FG SCT000 SCT003 09/09 Q1029 RMK FG SCT000
RKTI,2020-10-20 00:39,127.8853,37.0300,48.20,48.20,100.00,300.00,1.00,0.00,30.38,M,0.75,M,SCT,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,M,RKTI 200039Z 30001KT 1200 R36/1600 BR SCT003 09/09 A3038
QFB,2020-10-20 00:40,128.7167,35.6500,50.00,48.20,93.50,310.00,1.00,0.00,30.42,M,6.21,M,FEW,M,M,M,100.00,M,M,M,M,M,M,M,M,M,M,M,KQFB 200040Z AUTO 31001KT 9999 FEW001 10/09 A3042 RMK A02 TSNO
QEN,2020-10-20 00:40,128.7500,37.6667,50.00,42.80,76.18,230.00,2.00,0.00,30.38,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEN 200040Z AUTO 23002KT 9999 CLR 10/06 A3038 RMK A02 TSNO
QES,2020-10-20 00:40,126.4500,36.9667,66.20,53.60,63.82,M,M,0.00,M,M,1.99,M,FEW,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,M,KQES 200040Z AUTO 3200 BR FEW004 19/12 / RMK A02 TSNO
QEJ,2020-10-20 00:40,127.9500,38.2000,44.60,41.00,87.09,280.00,1.00,0.00,30.39,M,4.97,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEJ 200040Z AUTO 28001KT 8000 CLR 07/05 A3039 RMK A02 TSNO
QEI,2020-10-20 00:40,128.0667,37.9500,48.20,41.00,76.01,200.00,2.00,0.00,30.39,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEI 200040Z AUTO 20002KT 9999 CLR 09/05 A3039 RMK A02 TSNO
QEQ,2020-10-20 00:40,127.5500,37.8500,48.20,48.20,100.00,60.00,3.00,0.00,30.42,M,1.99,M,FEW,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,47.21,KQEQ 200040Z AUTO 06003KT 3200 BR FEW003 09/09 A3042 RMK A02 TSNO
QEW,2020-10-20 00:40,128.1500,36.4000,51.80,42.80,71.26,40.00,2.00,0.00,30.37,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEW 200040Z AUTO 04002KT 9999 CLR 11/06 A3037 RMK A02 TSNO
QEP,2020-10-20 00:40,127.2667,37.4000,50.00,48.20,93.50,240.00,1.00,0.00,30.41,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,M,KQEP 200040Z AUTO 24001KT 1200 BR OVC002 10/09 A3041 RMK A02 TSNO
QFT,2020-10-20 00:40,127.3500,37.6000,51.80,46.40,81.74,30.00,2.00,0.00,30.38,M,M,M,FEW,M,M,M,500.00,M,M,M,,M,M,M,M,M,M,M,KQFT 200040Z AUTO 03002KT / // FEW005 11/08 A3038 RMK A02 TSNO
QFU,2020-10-20 00:40,126.9667,37.8000,48.20,48.20,100.00,70.00,1.00,0.00,30.43,M,0.25,M,CLR,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,M,KQFU 200040Z AUTO 07001KT M0400 FG CLR 09/09 A3043 RMK A02 TSNO
QEX,2020-10-20 00:40,128.3000,36.1000,50.00,44.60,81.61,40.00,4.00,0.00,30.31,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEX 200040Z AUTO 04004KT 9999 CLR 10/07 A3031 RMK A02 TSNO
