station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ROIG,2020-10-20 00:00,124.1633,24.3367,80.60,77.00,88.83,40.00,17.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,87.59,ROIG 200000Z 04017KT 9999 FEW016 BKN/// 27/25 Q1015
ROMD,2020-10-20 00:00,131.2286,25.8289,80.60,73.40,78.76,50.00,12.00,0.00,30.00,M,6.21,M,SCT,BKN,BKN,M,1900.00,3100.00,3500.00,M,M,M,M,M,M,M,M,85.32,ROMD 200000Z AUTO 05012KT 9999 SCT019 BKN031 BKN035 27/23 Q1016
ROMY,2020-10-20 00:00,125.2767,24.7933,80.60,75.20,83.66,60.00,15.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,86.17,ROMY 200000Z 06015KT 9999 FEW015 BKN/// 27/24 Q1015
RORY,2020-10-20 00:00,128.4020,27.0440,82.40,73.40,74.28,70.00,11.00,0.00,30.03,M,6.21,21.00,SCT,SCT,BKN,M,2100.00,4300.00,4800.00,M,M,M,M,M,M,M,M,88.26,RORY 200000Z AUTO 07011G21KT 9999 SCT021 SCT043 BKN048 28/23 Q1017
RJDC,2020-10-20 00:00,131.2786,33.9300,66.20,48.20,52.25,50.00,8.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,RJDC 200000Z 05008KT 9999 FEW020 19/09 Q1025
RJOM,2020-10-20 00:00,132.6997,33.8272,64.40,53.60,67.95,20.00,6.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,RJOM 200000Z 02006KT 9999 FEW025 18/12 Q1025
RJFS,2020-10-20 00:00,130.3000,33.1500,66.20,55.40,68.15,50.00,8.00,0.00,30.24,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJFS 200000Z 05008KT 9999 FEW030 19/13 Q1024
RJFT,2020-10-20 00:00,130.8553,32.8372,66.20,51.80,59.74,50.00,12.00,0.00,30.24,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJFT 200000Z 05012KT 9999 FEW030 19/11 Q1024
RJOT,2020-10-20 00:00,134.0167,34.2167,60.80,53.60,77.14,70.00,3.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,M,RJOT 200000Z 07003KT 360V150 9999 FEW035 16/12 Q1026
RJSK,2020-10-20 00:00,140.2167,39.6167,48.20,48.20,100.00,140.00,5.00,0.00,30.33,M,0.19,M,FEW,BKN,BKN,M,0.00,100.00,200.00,M,FG,M,M,M,M,M,M,45.63,RJSK 200000Z 14005KT 110V190 0300 R28/0300VP2000U FG FEW000 BKN001 BKN002 09/09 Q1027
RJOO,2020-10-20 00:00,135.4392,34.7844,59.00,55.40,87.83,110.00,4.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,RJOO 200000Z 11004KT 080V140 9999 FEW020 SCT/// 15/13 Q1026
RJOR,2020-10-20 00:00,134.1650,35.5300,60.80,53.60,77.14,150.00,4.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJOR 200000Z 15004KT 110V180 9999 FEW030 16/12 Q1026
RJOW,2020-10-20 00:00,131.7903,34.6764,59.00,50.00,72.01,160.00,6.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RJOW 200000Z 16006KT CAVOK 15/10 Q1026
RJOY,2020-10-20 00:00,135.6006,34.5967,60.80,57.20,87.92,M,1.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,300.00,M,M,M,M,M,M,M,M,M,M,M,RJOY 200000Z VRB01KT 9999 FEW003 BKN/// 16/14 Q1026
RJSA,2020-10-20 00:00,140.6886,40.7333,55.40,42.80,62.46,230.00,4.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJSA 200000Z 23004KT 190V260 9999 FEW030 13/06 Q1026
RJSC,2020-10-20 00:00,140.3711,38.4119,53.60,51.80,93.60,240.00,3.00,0.00,30.33,M,4.35,M,FEW,BKN,BKN,M,200.00,500.00,800.00,M,M,M,M,M,M,M,M,M,RJSC 200000Z 24003KT 200V270 7000 FEW002 BKN005 BKN008 12/11 Q1027
RJSF,2020-10-20 00:00,140.4281,37.2275,55.40,51.80,87.65,360.00,5.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,100.00,M,M,M,M,M,M,M,M,M,M,M,RJSF 200000Z 36005KT 9999 FEW001 BKN/// 13/11 Q1026
RJSI,2020-10-20 00:00,141.1353,39.4286,51.80,46.40,81.74,20.00,3.00,0.00,30.30,M,6.21,M,FEW,M,M,M,300.00,M,M,M,M,M,M,M,M,M,M,M,RJSI 200000Z 02003KT 330V060 9999 FEW003 11/08 Q1026
RJSM,2020-10-20 00:00,141.3684,40.7032,59.00,41.00,51.18,280.00,10.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJSM 200000Z 28010KT 9999 FEW030 15/05 Q1026
RJSN,2020-10-20 00:00,139.1117,37.9558,60.80,53.60,77.14,180.00,7.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJSN 200000Z 18007KT 9999 FEW030 16/12 Q1026
RJSS,2020-10-20 00:00,140.9169,38.1397,57.20,50.00,76.82,360.00,4.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJSS 200000Z 36004KT 320V030 9999 FEW030 SCT/// 14/10 Q1026
RJTF,2020-10-20 00:00,139.5281,35.6717,59.00,51.80,76.98,360.00,4.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,M,RJTF 200000Z 36004KT 320V030 9999 FEW040 BKN/// 15/11 Q1025
RJTO,2020-10-20 00:00,139.3603,34.7819,64.40,51.80,63.60,30.00,18.00,0.00,30.24,M,6.21,M,FEW,SCT,BKN,M,2500.00,18000.00,M,M,M,M,M,M,M,M,M,M,RJTO 200000Z 03018KT 9999 FEW025 SCT180 BKN/// 18/11 Q1024
RJTT,2020-10-20 00:00,139.7811,35.5533,62.60,50.00,63.38,340.00,10.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RJTT 200000Z 34010KT CAVOK 17/10 Q1025 NOSIG
RORS,2020-10-20 00:00,125.1447,24.8267,82.40,75.20,78.90,50.00,17.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,89.48,RORS 200000Z 05017KT 9999 FEW017 BKN/// 28/24 Q1015
RJNS,2020-10-20 00:00,138.1894,34.7961,62.60,51.80,67.75,310.00,3.00,0.00,30.24,M,6.21,M,FEW,SCT,BKN,M,500.00,18000.00,M,M,M,M,M,M,M,M,M,M,RJNS 200000Z 31003KT 270V340 9999 FEW005 SCT180 BKN/// 17/11 Q1024
RJBD,2020-10-20 00:00,135.3644,33.6622,60.80,51.80,72.20,M,2.00,0.00,30.24,M,6.21,M,FEW,SCT,BKN,M,3000.00,17000.00,M,M,M,M,M,M,M,M,M,M,RJBD 200000Z VRB02KT 9999 FEW030 SCT170 BKN/// 16/11 Q1024
RJFG,2020-10-20 00:00,130.9917,30.6050,68.00,59.00,72.92,60.00,8.00,0.00,30.18,M,6.21,18.00,FEW,SCT,BKN,M,2000.00,3000.00,9000.00,M,M,M,M,M,M,M,M,M,RJFG 200000Z 06008G18KT 350V110 9999 FEW020 SCT030 BKN090 20/15 Q1022
RJTI,2020-10-20 00:00,139.8500,35.6300,62.60,48.20,59.26,350.00,3.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,RJTI 200000Z 35003KT 320V020 9999 FEW025 BKN/// 17/09 Q1025
RJOS,2020-10-20 00:00,134.6092,34.1322,62.60,53.60,72.38,290.00,6.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,2500.00,25000.00,M,M,M,M,M,M,M,M,M,M,RJOS 200000Z 29006KT 240V330 9999 FEW025 SCT250 17/12 Q1026
RJSY,2020-10-20 00:00,139.7872,38.8122,60.80,55.40,82.37,70.00,3.00,0.00,30.30,M,6.21,M,FEW,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,M,RJSY 200000Z 07003KT 030V130 9999 FEW005 16/13 Q1026
RORK,2020-10-20 00:00,131.3333,25.9167,82.40,73.40,74.28,60.00,19.00,0.00,30.00,M,6.21,M,BKN,BKN,M,M,2000.00,2800.00,M,M,M,M,M,M,M,M,M,88.26,RORK 200000Z AUTO 06019KT 9999 BKN020 BKN028 28/23 Q1016
ROYN,2020-10-20 00:00,122.9780,24.4670,80.60,75.20,83.66,30.00,24.00,0.00,30.00,M,6.21,M,BKN,OVC,M,M,1800.00,2800.00,M,M,M,M,M,M,M,M,M,86.17,ROYN 200000Z AUTO 03024KT 9999 BKN018 OVC028 27/24 Q1016
ROAH,2020-10-20 00:00,127.6458,26.1958,82.40,73.40,74.28,60.00,15.00,0.00,30.00,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,88.26,ROAH 200000Z 06015KT 9999 SCT020 28/23 Q1016
RJBT,2020-10-20 00:09,134.7869,35.5128,53.60,53.60,100.00,M,1.00,0.00,30.30,M,1.55,M,FEW,M,M,M,0.00,M,M,M,BCFG,M,M,M,M,M,M,M,RJBT 200009Z VRB01KT 2500 BCFG FEW000 12/12 Q1026 RMK 1ST000 A3031 1000N FG BANK AROUND
RJAF,2020-10-20 00:11,137.9228,36.1667,44.60,42.80,93.35,M,2.00,0.00,30.36,M,5.59,M,FEW,SCT,BKN,M,200.00,700.00,1100.00,M,M,M,M,M,M,M,M,M,RJAF 200011Z VRB02KT 9000 FEW002 SCT007 BKN011 07/06 Q1028 RMK 1ST002 4ST007 6ST011 A3037
RJNY,2020-10-20 00:15,138.2981,34.8128,64.40,50.00,59.50,M,2.00,0.00,30.24,M,6.21,M,FEW,BKN,BKN,M,2000.00,18000.00,25000.00,M,M,M,M,M,M,M,M,M,RJNY 200015Z VRB02KT 9999 FEW020 BKN180 BKN250 18/10 Q1024 RMK 1CU020 5AC180 A3026
RJSK,2020-10-20 00:16,140.2167,39.6167,50.00,50.00,100.00,140.00,3.00,0.00,30.33,M,0.12,M,SCT,BKN,BKN,M,0.00,100.00,200.00,M,FG,M,M,M,M,M,M,M,RJSK 200016Z 14003KT 100V210 0200 R28/0275VP2000D FG SCT000 BKN001 BKN002 10/10 Q1027 RMK 3ST000 5ST001 7ST002 A3033
RJAW,2020-10-20 00:18,141.3227,24.7840,82.40,78.80,88.90,160.00,12.00,0.00,29.91,M,6.21,M,BKN,SCT,BKN,M,1500.00,15000.00,23000.00,M,VCSH,M,M,M,M,M,M,92.76,RJAW 200018Z 16012KT 9999 VCSH BKN015 SCT150 BKN230 28/26 Q1013 RMK 5CU015 4AC150 A2993
ROAH,2020-10-20 00:24,127.6458,26.1958,84.20,71.60,65.95,60.00,16.00,0.00,30.00,M,6.21,26.00,SCT,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,89.60,ROAH 200024Z 06016G26KT 9999 SCT023 29/22 Q1016 RMK 4CU023 A3001
RJSK,2020-10-20 00:26,140.2167,39.6167,50.00,50.00,100.00,130.00,4.00,0.00,30.33,M,0.12,M,SCT,BKN,BKN,M,0.00,100.00,200.00,M,FG,M,M,M,M,M,M,M,RJSK 200026Z 13004KT 090V170 0200 R28/0275V1000U FG SCT000 BKN001 BKN002 10/10 Q1027 RMK 3ST000 5ST001 7ST002 A3033
RJAW,2020-10-20 00:28,141.3227,24.7840,82.40,77.00,83.77,170.00,13.00,0.00,29.91,M,4.97,M,FEW,BKN,BKN,M,1000.00,1500.00,23000.00,M,SHRA,M,M,M,M,M,M,90.85,RJAW 200028Z 17013KT 8000 SHRA FEW010 BKN015 BKN230 28/25 Q1013 RMK 1CU010 5CU015 A2992
RJAA,2020-10-20 00:30,140.3856,35.7653,59.00,55.40,87.83,330.00,9.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,RJAA 200030Z 33009KT 9999 FEW020 BKN/// 15/13 Q1025 NOSIG RMK 1CU020 A3028
RJCC,2020-10-20 00:30,141.6926,42.7742,57.20,41.00,54.60,160.00,5.00,0.00,30.24,M,6.21,M,FEW,SCT,M,M,3000.00,7000.00,M,M,M,M,M,M,M,M,M,M,RJCC 200030Z 16005KT 9999 FEW030 SCT070 14/05 Q1024 RMK 1CU030 3AC070 A3025
RJFF,2020-10-20 00:30,130.4517,33.5844,68.00,55.40,64.04,80.00,8.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,RJFF 200030Z 08008KT 010V130 9999 FEW025 20/13 Q1025 NOSIG RMK 1CU025 A3028
RJBB,2020-10-20 00:30,135.2328,34.4342,62.60,57.20,82.50,70.00,6.00,0.00,30.30,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,M,RJBB 200030Z 07006KT 9999 FEW015 17/14 Q1026 NOSIG
RJGG,2020-10-20 00:30,136.8054,34.8584,60.80,51.80,72.20,340.00,10.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJGG 200030Z 34010KT 9999 FEW030 BKN/// 16/11 Q1025 NOSIG
RJTT,2020-10-20 00:30,139.7811,35.5533,62.60,50.00,63.38,360.00,11.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RJTT 200030Z 36011KT CAVOK 17/10 Q1025 NOSIG RMK A3028
ROAH,2020-10-20 00:30,127.6458,26.1958,84.20,71.60,65.95,60.00,17.00,0.00,30.00,M,6.21,M,SCT,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,89.60,ROAH 200030Z 06017KT 9999 SCT023 29/22 Q1016 RMK 4CU023 A3002
RJBT,2020-10-20 00:30,134.7869,35.5128,55.40,55.40,100.00,M,1.00,0.00,30.30,M,6.21,M,FEW,M,M,M,0.00,M,M,M,PRFG,M,M,M,M,M,M,M,RJBT 200030Z VRB01KT 9999 PRFG FEW000 13/13 Q1026 RMK 1ST000 A3031 2000N FG BANK N-SE
RJSK,2020-10-20 00:31,140.2167,39.6167,50.00,50.00,100.00,130.00,5.00,0.00,30.33,M,0.19,M,FEW,BKN,BKN,M,0.00,100.00,200.00,M,FG,M,M,M,M,M,M,M,RJSK 200031Z 13005KT 090V170 0300 R28/0300VP2000U FG FEW000 BKN001 BKN002 10/10 Q1027 RMK 2ST000 5ST001 7ST002 A3033
RJSK,2020-10-20 00:33,140.2167,39.6167,50.00,50.00,100.00,120.00,5.00,0.00,30.33,M,0.25,M,FEW,BKN,BKN,M,0.00,100.00,200.00,M,FG,M,M,M,M,M,M,M,RJSK 200033Z 12005KT 090V160 0400 R28/0450VP2000U FG FEW000 BKN001 BKN002 10/10 Q1027 RMK 2ST000 5ST001 7ST002 A3033
RJSK,2020-10-20 00:37,140.2167,39.6167,50.00,50.00,100.00,130.00,5.00,0.00,30.30,M,0.31,M,FEW,BKN,BKN,M,0.00,100.00,200.00,M,FG,M,M,M,M,M,M,M,RJSK 200037Z 13005KT 0500 R28/0450VP2000U FG FEW000 BKN001 BKN002 10/10 Q1026 RMK 2ST000 5ST001 7ST002 A3032
RJAW,2020-10-20 00:38,141.3227,24.7840,78.80,75.20,88.75,170.00,14.00,0.00,29.91,M,6.21,M,FEW,BKN,BKN,M,1000.00,1500.00,23000.00,M,-SHRA,M,M,M,M,M,M,M,RJAW 200038Z 17014KT 9999 -SHRA FEW010 BKN015 BKN230 26/24 Q1013 RMK 1CU010 5CU015 A2992
RJSR,2020-10-20 00:40,140.3714,40.1919,44.60,44.60,100.00,M,1.00,0.00,30.33,M,0.43,M,SCT,BKN,M,M,100.00,200.00,M,M,FG,M,M,M,M,M,M,M,RJSR 200040Z VRB01KT 0700 R11/0325V2000D FG SCT001 BKN002 07/07 Q1027 RMK 4ST001 7ST002 A3033
RJSK,2020-10-20 00:42,140.2167,39.6167,50.00,50.00,100.00,130.00,4.00,0.00,30.30,M,0.43,M,FEW,BKN,BKN,M,0.00,100.00,200.00,M,FG,M,M,M,M,M,M,M,RJSK 200042Z 13004KT 100V170 0700 R28/0750VP2000D FG FEW000 BKN001 BKN002 10/10 Q1026 RMK 1ST000 5ST001 7ST002 A3032
